Name,Location,Study Program,Sector,Rating,new_Rating,Cities
Campus.pk Lahore,"Office 206, 2nd Floor Siddique Trade Center Main Boulevard Gulberg III Lahore ",FSc Pre Engineering Fsc Pre Medical,Private,0*,0*,Lahore
Allama Iqbal Open University Aiou Islamabad,"Sector H-8, Islamabad-44000",FSc Pre Engineering ICs Computer Science FSc Pre Medical Higher Secondary School Certificate ( FA - Dars-E-Nazami Group) Higher Secondary School Certificate ( FA - General Group) Icom FA,Public,5*,5*,Islamabad
Government College University Gcu Lahore,"GC University, Katchery Road Lahore 54000",FSc Pre Engineering ICS Computer Science FSc Pre Medical F.A (Arts) F.A (General Science) I.Com,Public,4*,4*,Lahore
Govt College University GCU Faisalabad,"Kotwali Rd, Faisalabad 38000",FSc Pre-Engineering ICS FSc Pre-Medical Icom FA FA General Science,Public,3*,3*,Faisalabad
Lahore College For Women University (Lcwu) Lahore,"Near Wapda Flats, Jail Road, Lahore",FA Arts FSc Pre Engineering ICS Physics ICS Statistics ICS Economics FSc Pre Medical F.A (Home Economics) F.A (General Science) F.Sc (Applied Psychology) Icom,Public,5*,5*,Lahore
University Of Agriculture Faisalabad,"University of Agriculture, Agriculture University Road, Faisalabad, . Zip Code 38000.",FSc Pre Agriculture,Public,5*,5*,Faisalabad
Pir Mehr Ali Shah Arid Agriculture University Rawalpindi,"PMAS-Arid Agriculture University Rawalpindi, Shamsabad, Muree Road Rawalpindi - .",FSc Pre Agriculture,Public,5*,5*,Rawalpindi
International Islamic University Iiu Islamabad,"International Islamic University Sector H-10, Islamabad",FSc Pre-Engineering ICS FSc Pre-Medical Icom FA FA General Science,Public,5*,5*,Islamabad
Kinnaird College For Women Lahore,"93- Jail Road, Lahore",FSc Pre Engineering ICS ICS Statistics ICS Physics FSc Pre Medical Icom FA Humanities FA General Science,Public,5*,5*,Lahore
The Women University Multan,"Kutchery Campus, L.M.Q. Road, Multan.",FSc Pre Engineering ICS FSc Pre Medical General Science FA,Public,0*,0*,Multan
Forman Christian College University Lahore,Ferozepur Road Lahore 54600 ,FSc Pre Engineering ICS Computer Sciecne FSc Pre Medical ICS Statistics ICS Physics Icom FA Arts FA General Science,Private,4*,4*,Lahore
Riphah International College Lahore,Head Office :28-M Quaid-e-Azam Industrial Estate Kot Lakhpat Lahore,Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Private,0*,0*,Lahore
Punjab Group of Colleges PGC Lahore,"1 Noon Avenue, New Muslim Town at Canal Bank Lahore",FSc Pre Engineering ICS Computer Science FSc Pre Medical FA General Science Icom,Private,2*,2*,Lahore
"Queen Mary College, Lahore","2-Durrand Road Garhi Shahu, Lahore",FSc Pre Engineering Intermediate in Home Economics ICs Computer Science FSc Pre Medical General Science Icom FA,Public,1*,1*,Lahore
Superior University,"31 Tipu Block new Garden town Lahore kalma chowk. 17 km Main Raiwind Road, Lahore.",Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Public,4*,4*,Lahore
University Of Peshawar,"Baragali Summer Campus, Peshawar",FSc Pre Engineering FSc Pre Medical FSc FA,Public,3.5*,4*,Peshawar
Allama Iqbal Open University Lahore AIOU,"Regional Campus, Allama Iqbal Open University, 346 Raza Block, Allama Iqbal Town, LAHORE",Higher Secondary School Certificate (Dars-E-Nazami Group)  Intermediate in Commerce ICom Higher Secondary School Certificate (General Group),Public,5*,5*,Lahore
Islamia College Peshawar,Islamia College Peshawar University Campus Peshawar Khyber Pakhtunkhwa ,FSc Pre Engineering ICS FSc Pre Medical FA ,Public,5*,5*,Peshawar
Government Sadiq College Women University Bahawalpur,Cheema Town Near BISE Bahawalpur,Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Public,3*,3*,Bahawalpur
Govt College of Science Wahdat Road Lahore,"Govt. College of Science, Wahdat Road Lahore, ",FSC pre Engineering ICS FSC pre medical ICOM FA FA General Science,Public,3*,3*,Lahore
Muhammad Nawaz Sharif University Of Agriculture Multan,"Sui gas Road, Old Shujaabad Road, Multan.",FSc Pre Agriculture,Public,4.25*,4*,Multan
Government College For Women University Gcwu Faisalabad,"Government College Women University, Shafique Road Faisalabad Zip Code 38000",Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Public,4*,4*,Faisalabad
The University of Lahore,The University of Lahore 1-KM Raiwind Road Lahore ,FSc Pre Engineering Fsc Pre Medical ,Private,3*,3*,Lahore
Minhaj University Lahore,"Near Hamdard Chowk, Township, Lahore.",ICS FA FA General Science,Private,3.25*,3*,Lahore
Lahore Garrison University (LGU),"Sector C, DHA Phase-VI Lahore",Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Private,5*,5*,Lahore
Govt Islamia College Civil Lines Lahore,"Govt. Islamia College Civil Lines, Near Kuchari Lahore.",FSc Pre Engineering ICS Statistics ICS Physics FSc Pre Medical Icom FA FA General Science,Public,2*,2*,Lahore
Govt MAO College Lahore,Lower Mall Road Lahore opp Edcuation University,FSc Pre Engineering ICS Statistics ICS Physics FSc Pre Medical FA Icom FA General Science,Public,4*,4*,Lahore
"Army Medical College, Rawalpindi",Abid Majid Road Rawalpindi Cantt  46000,FSc Pre Medical,Private,3*,3*,Rawalpindi
Kips College Lahore,"30-A, Johar Town, Lahore",FSc Pre Engineering ICS Computer Science FSc Pre Medical A level Icom FA,Private,4*,4*,Lahore
Govt Post Graduate Islamia College for Women Cooper Road Lahore,"Cooper Road, Lahore",FSc Pre Engineering ICs Computer Sciecne FSc Pre Medical ICS Physics F.A (General Science) Icom FA Arts,Private,0*,0*,Lahore
Govt Post Graduate College for Women Satellite Town Rawalpindi,Satellite Town Rawalpindi,FA ICom FSc Pre Medical FSc Pre Engineering ICS,Public,2*,2*,Rawalpindi
College of Tourism and Hotel Management COTHM Pakistan,"5-C Main Gulberg II, Ayesha Saddiqa Road (Behind EFU House) Jail Road, Lahore, ",Intermediate in Culinary Arts (PBTE) Intermediate in Hotel Operations (PBTE) ,Private,5*,5*,Lahore
Shaheed Zulfiqar Ali Bhutto Medical University Islamabad,"PIMS, Islamabad",FSc Medical Laboratory Technology FSc Dental Hygiene Technology FSc Ophthalmology Technology FSc Medical Imaging Technology FSc Physiotherapy Technology Fsc OT Technology ,Public,5*,5*,Islamabad
Pakistan Military Academy Abbottabad,"Kakul Road, Abbottabad",FA Fsc Pre Medical ICS Computer Science ICom FSc Pre Engineering,Public,5*,5*,Abbottabad
University Of Balochistan Quetta,"Sariab Road, Quetta",FA Fsc Pre Medical ,Public,3.5*,4*,Quetta
Gift University Gujranwala,"GIFT University, Near GIFT University Chowk, Gujranwala- 52250.",FSc Pre Engineering FSc Pre Medical ICs Computer Science ICom Commerce FA,Private,4.5*,4*,Gujrawala
Superior Group of Colleges Faisalabad,"103-C Peoples Colony-1, Faisalabad",Icom ICs Computer Science FA FSc Pre Engineering FSc Pre Medical,Private,5*,5*,Faisalabad
National Textile Institute NTI Islamabad,"18, Lukman Hakim Road G/6 -3 Islamabad, ",I.TAF (INTERMEDIATE IN TEXTILE & FASHION DESIGNING),Private,0*,0*,Islamabad
Govt Post Graduate College For Women Satellite Town Gujranwala,Govt Post Graduate College For Women Satellite Town Gujranwala,FA FSc Pre Engineering Fsc Pre Medical ICS FA General Science ICom,Public,3*,3*,Gujrawala
Govt Post Graduate College Samanabad Faisalabad,Govt Post Graduate College Samanabad Faisalabad,FA ICS Icom FSc Pre Engineering FSc Pre Medical FA General Science,Public,0*,0*,Faisalabad
Punjab Group of Colleges Rawalpindi,"D-464, 6th road, Satellite Town Rawalpindi",FA Icom ICS Computer Science FSc Pre Medical FSc Pre Engineering FA General Science,Private,4*,4*,Rawalpindi
Bahria College Karsaz Karachi (BCKK),Habib Ibrahim Rahmatullah Road Karsaz Karachi,FSc Pre Medical FSc Pre Engineering ICs Computer Science Icom A Level FA,Private,3*,3*,Karachi
Govt Viqar un Nisa College Rawalpindi,Govt Viqar un Nisa College Rawalpindi,FA Icom ICS FSC Pre medical FSc Pre Engineering,Public,2*,2*,Rawalpindi
Islamabad College for Girls F-6/2 Islamabad,Islamabad College for Girls F-6/2 Islamabad,FA FSc Pre Engineering FSc Pre Medical FA General Science ICS ICom,Private,4*,4*,Islamabad
University of Home Economics Lahore,"UNIVERSITY OF HOME ECONOMICS, GULBERG, LAHORE",Intermediate In (Home Economics) Intermediate In (Medical),Private,3*,3*,LAHORE
COMSATS Institute of Information Technology Abbottabad,"CIIT Abbottabad Campus University Road, Tobe Camp",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,Public,3*,3*,Abbottabad
Superior Group of Colleges Gujranwala,"7-8/A Small Industrial State, Main G.T. Road, Gujranwala.",Fsc Pre Engineering Fsc Pre Medical Icom FA ICs Computer Science,Private,3*,3*,Gujrawala
Anees Hussain Karachi,DHA Karachi,FA FSc Pre Medical FSc Pre Engineering Icom ICs Computer Science A Level,Private,5*,5*,Karachi
Allama Iqbal Open University AIOU Abbottabad.,"House No. CB 301, Adj. United Bank Ltd, Main Building Branch, Mansehra ",Icom ICs Computer Science FSc Pre Engineering FSc Pre Medical FA,Public,0*,0*,Mansehra
EDGE System International Lahore,"21-L Gulberg III Main Ferozepur Road, Lahore",FSc Pre Engineering FSc Pre Medical FA ICS I.Com,Private,3.25*,3*,Lahore
Rehman Medical College Peshawar,"4/A-3 Phase 5 , Hayatabad Peshawar - ",FSc (MT) Laboratory Technician Fsc (MT) Medical Image Technology FSc (MT) Operation Theatre Technician FSc (MT) Physiotherapy ,Private,4*,4*,Peshawar
Army Public School and College Lahore Cantt,"52, Tufail Road, Lahore Cantt",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,Private,5*,5*,Lahore
Pakistan Institute of Medical Technologies Islamabad,"Ghori Gardens Opposite Burma Pul, Street No. 3, Islamabad",FSc Pre Medical FSc Dental Technology FSc Medical Laboratory Technology FSc Operation Theatre Technician FSc Ophthalmic Technician FSc Physiotherapy Technician FSc Radiologic Technology DAE Civil Technology DAE Electrical Technology DAE Electronics Technology,Private,0*,0*,Islamabad
CFE College of Accountancy and Finance Lahore,"10-B, Aibak Block, New Garden Town, Lahore, ",FSc Pre Medical FSc Pre Engineering ICS Icom ACCA,Private,3*,3*,Lahore
National Institute of Management Science Faisalabad,"2nd Floor, Lyalpur Plaza, Satiana Road, Opp Ideal Sweet & Bakers, Faisalabad",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,Private,0*,0*,Faisalabad
"STEP Institute of Art, Design & Management","4-C New Muslim Town (facing Canal), Lahore, ",A Level Art & Design A Level Business and Management ,Private,0*,0*,Lahore
Govt Frontier College for Women Peshawar,Govt Frontier College for Women Peshawar,FA Fsc Pre Medical FSc Pre Engineering ,Public,4*,4*,Peshawar
Govt College of Technology Raiwind Road Lahore,Dubai Town Raiwind Road Lahore,DAE Bio-medical DAE Civil Technology DAE Electrical Technology DAE Electronics Technology DAE Information Technology,Public,5*,5*,Lahore
The City School,"TC / A, Street, 34, Khayaban-e-Rahat, Phase V, DHA, Karachi.",A Level,Private,0*,0*,Karachi
Professionals Academy of Commerce Lahore PAC,"41 – T, GULBERG II, LAHORE",ICom,Private,4*,4*,LAHORE
Allama Iqbal Open University Multan,"Regional Campus, Allama Iqbal Open University, CF-7, Shah Rukn-e-Alam Colony, Near Thana Stop MULTAN.",Intermediate in Commerce (I.Com)  Higher Secondary School Certificate (General Group)Higher Secondary School Certificate (Dars-E-Nazami Group),Public,0*,0*,Multan
Allama Iqbal Open University AIOU Faisalabad,"Regional Campus, Allama Iqbal Open University, F-Block, Near STN Tower, Millat Town, FAISALABAD.",Intermediate in Commerce (I.Com),Public,0*,0*,Faisalabad
Govt. College of Technology Railway Road Lahore,"Govt. College of Technology, Railway Road, Lahore",DAE Architecture Technology  DAE Auto and Diesel Technology DAE Refrigeration and Air Conditioning Technology DAE Mechanical Technology DAE Mechanical Technology DAE Motorcycle MechanicDAE Refrigeration & Air-conditioningPost Diploma in Bio Medical Technology,Private,3*,3*,Lahore
Murray College Sialkot,Sialkot,FA ICS Computer Science Icom FSc Pre Engineering FSc Pre Medical ,Private,5*,5*,Sialkot
Unique Group of Institutions Lahore,"106-A New Muslim Town, Lahore",FSc Pre Medical FSc Pre Engineering ICS FA General Science Icom,Private,4*,4*,Lahore
"Govt. Postgraduate College for Women Samanabad, Lahore",Samanabad Lahore,FA FSc Pre Engineering FSc Pre Medical ICom ICS ,Public,1*,1*,Lahore
Punjab Group of Colleges Gujranwala,"29-A, Civil Lines Session, Court Road, Gujranwala",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science FA General Science,Private,3*,3*,Gujrawala
Punjab Group of Colleges PGC Faisalabad,05 Km jaranwala Near PSO Petrol Pump Faisalabad,FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science FA General Science,Private,2*,2*,Faisalabad
Army Public College of Management and Sciences APCOMS Rawalpindi,"Ordnance Road, Rawalpindi Cantt, ",FA FSc Pre Engineering FSc Pre Medical FA ICS,Private,5*,5*,Rawalpindi
Royal Group of Colleges Gujranwala,"Paracha Center Near PACE Main G.T Road, Gujranwala",FA FSc Pre Engineering FSc Pre Medical FA General Science ICs Computer Science Icom Dcom DBA,Private,4*,4*,Gujrawala
Superior Group of Colleges Rawalpindi,"34 B-1, Chandni Chowk Satellite Town Rawalpindi",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,3*,3*,Rawalpindi
Girls Cadet College Abbottabad,Mansehra Road Near UBL Zonal Office Abbottabad,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Private,1*,1*,Abbottabad
Govt Emerson College Multan,"EMERSON COLLEGE ROAD (BOSAN ROAD), MULTAN, .",FSc Pre Medical FSc Pre Engineering FA General Science ICs Computer Science Icom,Private,4*,4*,Multan
Kips Academy Multan,"Bosan Road-1KIPS College Near Bank Alfalah, Multan",FA Icom ICs Computer Science FSc Pre Engineering FSc Pre Medical ,Private,4*,4*,Multan
"Stars Educational Network, Head Office Johar Town Lahore","590-Q, Main Boulevard, Johar Town, Lahore, ",FSc Pre Engineering FSc Pre Medical FA Arts ICS Computer Science ICOM ICS,Private,3*,3*,Lahore
"Govt. College For Boys Gulberg, Lahore","Qazafi Stadium, Ferozepur Road Lahore.",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA Arts,Public,3*,3*,Lahore
Govt College Township Lahore,"Government College Township, College Road Township Lahore",FA FSc Pre Engineering FSc Pre Medical ICom ICS ,Public,3*,3*,Lahore
Agricultural University Peshawar Khyber Pukhtunkhwa,"NWFP Agricultural University Peshawar , ",Fsc FA ,Public,0*,0*,Peshawar
Pakturk International School and College,"Pakturk International School & College, Plot # 87-88, Faiz Ahmad Faiz Road, H-8/1, Islamabad",FA A Level FSc Pre Medical FSc Pre Engineering ICS Icom,Private,0*,0*,Islamabad
Concordia Colleges Lahore,"10-II Gurumangat Road, Gulberg-III, Lahore.",FA Arts FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom ACCA,Private,1*,1*,Lahore
Swedish Institute of Engineering And Technology Rawalpindi,"D-324, Commercial Market, Satellite Town, Rawalpindi.",DAE Civil Technology DAE Electronics Technology DAE Electrical Technology DAE Mechanical Technology DAE Information Technology DAE Telecommunication FSc Pre Engineering FSc Pre Medical Icom ICS ,Private,4*,4*,Rawalpindi
School of Nursing Holy Family Hospital Rawalpindi,School of Nursing Holy Family Hospital Rawalpindi,FA FSc Pre Medical FSc Pre Engineering,Private,0*,0*,Rawalpindi
FG PostGraduate College for Women Kashmir Road Rawalpindi,KASHMIR ROAD RAWALPINDI CANTT RAWALPINDI,ICS FSc Pre Engineering FSc Pre Medical FA Icom,Private,0*,0*,RAWALPINDI
Superior Group of Colleges Sargodha,"Sargodha Campus, Satellite Town, Sargodha.",FA FSc Pre-Medical FSc Pre-Engineering ICS Icom,Private,5*,5*,Sargodha
"Cadet College, Jhelum","Pir Shahab GT Road Jhelum, Post Box No.30 (GPO Jhelum), Punjab ",Pre Medical FSc Pre Engineering ICS,Private,3.25*,3*,Jehlum
Govt Apwa College for Women Lahore,"65 Jail Road, Lahore, Punjab, . 54000",FA ICOM ICS FSc Pre Medical FSc Pre Engineering ICS Physics,Public,1*,1*,Lahore
"Govt. College for Women, Gulberg Lahore",Gulberg Lahore,FSc Pre Engineering FSc Pre Medical ICS FA I.Com,Private,2*,2*,Lahore
"Peak Solution, Lahore","42-A Lower Mall , Near Civil Secretriate, Lahore",ICs Computer Science Icom FSc Pre Engineering FSc Pre Medical FA,Private,4*,4*,Lahore
Aitchison College Lahore,"Aitchison College, Upper Mall, Lahore",A Level FSc Pre Engineering FSc Pre Medical Icom ICS,Private,3.75*,4*,Lahore
"Divisional Public School & Inter College Model Town, Lahore","Model Town, lahore",FA I.COM ICS FSC Pre Medical FSC Pre Engieenring,Private,0*,0*,lahore
Government College For Women University Sialkot,Sialkot,FSc Pre Medical  FSc Pre Engineering FA General Science FA Computer Sciene FA ICS Icom,Public,3.75*,4*,Sialkot
KIPS Academy Satiana Road Campus Faisalabad,"575-B, Millat Plaza, Satiana Road, Faisalabad",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,Private,3*,3*,Faisalabad
Govt Zamindar Post Graduate College Gujrat,Bhimber Road Gujrat,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,5*,5*,Gujrat
Govt Sadiq Egerton College Bahawalpur,Govt Sadiq Egerton College Bahawalpur,FA FSc Pre-Medical FSc Pre-Engineering ICS FA General Science,Public,5*,5*,Bahawalpur
Jinnah College for Women Peshawar,"University Campus, Peshawar",FA General Science FSc Pre Engineering FSc Pre Medical ICs Computer Science Fsc FA,Private,1*,1*,Peshawar
Govt. Gordon College Rawalpindi,"Liaquat Rd, Rawalpindi, Punjab, ",FA ICs Computer Science FSc Pre Medical Fsc pre Engeerning Icom,Private,5*,5*,Rawalpindi
"Shiblee College of Commerce & Science, Faisalabad",135-C People’s Colony Faisalabad,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom CA ACCA FIA ,Private,4*,4*,Faisalabad
Govt Post Graduate Islamia College Gujranwala,Govt Post Graduate Islamia College Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,1.25*,1*,Gujrawala
Allama Iqbal Open University Aiou Sialkot,"Regional Center, Allama Iqbal Open University, Mohallah Mumtaz pura, Hajipura, Daska road, Sialkot.",FSc Pre Engineering ICs Computer Science FSc Pre Medical Higher Secondary School Certificate (Dars-E-Nazami Group) Icom FA,Private,5*,5*,Sialkot
"Defence Degree College For Women, Lahore","487 - FF, Phase IV, DHA, Lahore Cantt",FSc Pre Medical FSc Pre Engineering ICS I.Com FA,Private,2*,2*,Lahore
Islamabad Model College for Girls F-10/2,Islamabad Model College for Girls F-10/2 Islamabad,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,0*,0*,Islamabad
NISA Girls College Sialkot,"Anwar Club Road, Sialkot",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,Private,5*,5*,Sialkot
Ace Institute of Health Sciences Lahore,"6-P, Model Town Extension, Lahore",FSc Lab Technology FSc Physiotherapy FSc Dental Hydienist FSc Operation Theater FSc Imaging Technology FSc Ophthalmology ,Private,0*,0*,Lahore
Govt Post Graduate College For Women Wahdat Colony Lahore,Govt Post Graduate College for Women Wahdat Colony Lahore,FA FSc Pre Engineering FSc Pre Medical ICom FA General Science ICS,Public,1*,1*,Lahore
Bilquis College of Education for Women PAF Chaklala Rawalpindi,PAF Chaklala Rawalpindi,FA Fsc genrel science ,Private,0*,0*,Rawalpindi
Govt Islamia College Railway Road Lahore,"Railway Road, Lahore",FA Fsc Pre Medical FSc Pre Engineering ICS Icom Fsc General Science,Public,4*,4*,Lahore
Sardar Bahadur Khan Womens University Quetta,"Sardar Bahadur Khan Women's University, Bawrery Road Quetta, Balochistan, ",F.A Fsc Pre Medical FSc Pre Engineering ICS,Public,0*,0*,Quetta
Allama Iqbal Open University-AIOU-Quetta,"Regional Campus, Allama Iqbal Open University Eastern By Pass, Takhtani Road, QUETTA.",Intermediate in Commerce (I.Com Higher Secondary School Certificate (Dars-E-Nizami Group) Higher Secondary School Certificate (General Group) ,Public,0*,0*,Quetta
Allama Iqbal Open University-AIOU Sargodha,"House No. 66, Civil Lines, Kachery Road, Sargodha Cantt",ICom,Private,5*,5*,Sargodha
Govt Post Graduate College Asghar Mall Rawalpindi,"Asghar Mall, Rawalpindi",FSc Pre Engineering FSc Pre Medical ICS FA General Science FA I.Com,Public,1*,1*,Rawalpindi
Cadet College Kohat,Cadet College Kohat,FA Icom FSc Pre Engineering FSc Pre Medical ICs Computer Science,Private,0*,0*,Kohat
"Limkokwing University Of Creative Technology (Cyberjaya, Malaysia)","Inovasi 1-1, Jalan Teknokrat 1/1, 63000 Cyberjaya, Selangor, Malaysia",Diploma in Graphic Design Technology Diploma in Product Design,Private,5*,5*,Malaysia
KIPS Academy Shaheenabad Campus Gujranwala,"Opp. Shaheenabad, G.T Road..GUJRANWALA",Fsc Pre Engineering Fsc Pre Medical FA Icom ICs Computer Science,Private,4.5*,4*,Gujrawala
OPF Girls College Islamabad,"F-8/2, Islamabad",FA FA General Science FSc Pre Medical FSc Pre Engineering ICS A Level Icom,Private,5*,5*,Islamabad
College of Tourism & Hotel Management COTHM Karachi,"G-4/A, Block-17, Gulshan-e-Iqbal (Behind National Stadium) Karachi",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),Private,0*,0*,Karachi
"College of Medical Technologies (CMT) PIMS, Islamabad",PIMS Sector G-8/3 Islamabad,Fsc Medical Laboratory Technology FSc Ophthalmic Technology FSc Dental Hygiene FSc Medical Imaging Technology FSc Physiotherapy Technology Fsc OT Technology,Private,0*,0*,Islamabad
Govt. Model College for Women Model Town Lahore,Model Town Lahore,Icom FA Fsc ICS FSc Engineering Fsc Medical,Private,0*,0*,Lahore
Kips Academy Islamabad,"21-B Metropolitian Plaza , Near National Bank G-9 Markaz",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,0*,0*,Islamabad
University College of Islamabad,"St. 21, F-8/2, Islamabad",FA ICs Computer Science,Private,5*,5*,Islamabad
Govt Shalimar College Baghbanpura Lahore,"College Road, Baghbanpura, Lahore, ",FSc Pre Medical FSc Pre Engineering ICS FA General Science FA Arts Icom,Private,3*,3*,Lahore
DJ Sindh Govt Science College Karachi,Dr Ziauddin Ahmed Road  Chowk Saddar Town Karachi ,Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,Public,5*,5*,Karachi
Army Public School and College Rawalpindi,Fort Road Near Code Rawalpindi,FSc Pre Medical FSc Pre Engineering ICS FA I.Com,Private,3*,3*,Rawalpindi
Bahria College Islamabad,Naval Complex E-8 Islamabad,ICs Computer Science FSc General Science FSc Pre Engineering FSc Pre Medical,Private,0*,0*,Islamabad
Govt College for Women Karkhana Bazar Faisalabad,Govt College for Women Karkhana Bazar Faisalabad,FA FSc Pre-Medical FSc Pre-Engineering ICS Icom FA General Science,Public,1.25*,1*,Faisalabad
Fauji Foundation College For Boys Rawalpindi,"New Lalazar, Rawalpindi, ",FA FSc Pre Engineering FSc Pre Medical ICS ICom,Private,5*,5*,Rawalpindi
Imperial College of Technology Lahore,6-Allama Iqbal Road Bohar Wala Chowk Lahore.,DAE Mechanical Technology DAE Electrical Technology DAE Civil Technology DAE Electronics Technology ,Private,0*,0*,Lahore
STUDENTS’ INN,"Junaid Plaza, Block-6, Gulshan-e-Iqbal",FSc Pre Medical FSc Pre Engineering Icom ICS Computer Science,Private,5*,5*,Karachi
"Al-Hamd Academy, Karachi","166-E, Block-3, P.E.C.H.S., Behind Danish Motors, Off: Khalid Bin Waleed Road Karachi",FSc Pre Engineering Fsc Pre Medical ICom ,Private,5*,5*,Karachi
Govt College for Women Madina Town Faisalabad,Govt College for Women Madina Town Faisalabad,FA FSc Pre Medical FSc Pre Engineering ICS ICom FA General Science,Public,0*,0*,Faisalabad
SKANS School of Accountancy Lahore,"3-C-1, Gulberg III, off M.M. Alam Road, Lahore",ICom,Private,4*,4*,Lahore
Aga Khan Higher Secondary School Karachi,"1-5.B-VII, Karimabad, Federal 'B' Area, Karachi 75950, .",FSc Pre Medial FSc Pre Engineering ICS Icom,Private,4*,4*,Karachi
Roots College International Islamabad,"74 Harley Street, Rawalpindi, ",FSc Pre Engineering FSc Pre Medical ICS FA Icom ACCA,Private,0*,0*,Rawalpindi
Army Public College Saddar Karachi,Iqbal Shaheed Road Saddar Karachi,Fsc Pre Engineering Fsc Pre Medical FA Icom ICs Computer Science,Private,5*,5*,Karachi
"Tabani S School Of Accountancy (Tsa), Karachi","187/P, Near PECHS Girls College PECHS, Block 2, Shahrah-e-Quaideen. P.O. Box 8922 Karachi -75400",FSc Pre Engineering FSc Pre Medical Engineering Icom FA General Science,Private,0*,0*,Karachi
Govt Post Graduate College Sahiwal,Government Post-Graduate College Sahiwal Qutab Sahana Road Sahiwal,FA FSc Pre-Engineering FSc Pre Medical FA General Science ICS Computer Science Icom,Private,4*,4*,Sahiwal
Hazrat Ayesha Siddiqa Model Degree College Lahore,Hazrat Ayesha Siddiqa Model Degree College Timber Market Ravi Road Lahore ,Fsc Pre Engineering FSc Pre Medical ICS ICOM FAFA Humanities Fsc General Science,Public,0*,0*,Lahore
Superior Group of Colleges Sialkot,"Kashmir Road Pacca Garha, Sialkot",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,Private,5*,5*,Sialkot
Maritime Training Institute Karachi,"Mariners Fairway 43 Timber Pond,Kemari, P.O.Box 4668, Karachi-75620",National Diploma in Engineering,Private,0*,0*,Karachi
"Edwardes College, Peshawar","Edwardes College, University of Peshawar The Mall, Peshawar Cantt. NWFP, ",FA General Science FSc Pre Medical FSc Pre Engineering A Level FSc Computer Science FA Arts,Private,4*,4*,Peshawar
Northwest College Of Nursing Peshawar,"Near Peshtakhara Chowk, Opp. Amin Masjid, Ring Road, Hayatabad Peshawar.",FSc Pre Medical,Private,0*,0*,Peshawar
Frontier Institute of Medical Sciences Abbottabad,"Old Degree College Road, Mandian, Abbottabad ",FSc Pre Medical Fsc Pre Engineering,Private,3*,3*,Abbottabad
"Khyber Medical College, Peshawar","KMC, University Road, Peshawar",FA FSc Pre Medical FSc Pre Engineering ICs Computer Science Icom FCs Computer Science,Private,0*,0*,Peshawar
The Limit Group of Colleges Faisalabad,"People’s Colony No 1, Faisalabad, ",FA FSc Pre Engineering FSc Pre Medical Icom Dcom DAE,Private,4.25*,4*,Faisalabad
Punjab College of Commerce Multan,"16 A, Gulgasht Colony,Boson Road",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,0*,0*,Multan
Govt Dyal Singh College Lahore,"25 - Nisbet Road, Lahore",FA Arts FSc Pre Engineering FSc Pre Medical Icom ICS,Public,3*,3*,Lahore
ILM College Gujrat,"Younas Fan Building, Opposite Small Industries Gate No 1, GT Road, Gujrat",FA Icom ICS Computer Science Fsc Pre Engineering Fsc Pre Medical,Private,1*,1*,Gujrat
Govt Fatima Jinnah College for Women Lahore,Govt Fatima Jinnah College for Women Chuna Mandi Lahore,FA Art Fsc Pre Engineering FSc Pre Medical ICom ICS FA General Science ,Public,0*,0*,Lahore
Cadet College Kallar Kahar Chakwal,"Cadet College Kallar Kahar, District Chakwal",FSc Pre Engineering ICS Computer Science FSc Pre Medical,Public,5*,5*,Chakwal
Government Post Graduate College No.1 Abbottabad,Government Post Graduate College No.1 Abbottabad,FA FSc Pre Engineering FSc Pre Medical,Public,1*,1*,Abbottabad
Kips Academy Satellite Town Campus Rawalpindi,"784-F, 6th Road, Satellite Town, Rawalpindi",FSc Pre Engineering Fsc Pre Medical ICom ICS FA,Private,5*,5*,Rawalpindi
