Name,Location,Study Program,Sector,Rating,new_Rating,Cities
Govt Boys Degree College Fateh Jang Attock,College More Kohat Road Fateh Jang,FSc Pre Engineering FSc Pre Medical FA General Science FA ICS,Public,0*,0*,Jang
"Lahore Polytechnique Institute, Sheikhupura",Batti Chowk Sheikhupura,DAE in Civil DAE in Electrical DAE in Mechanical,Private,0*,0*,Sheikhupura
Govt Degree College Sohawa Jhelum,Govt Degree College Sohawa Jhelum,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,0*,0*,Jehlum
Govt Degree College For Women Talagang Chakwal,Chakwal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Public,0*,0*,Chakwal
Islamia Degree College of Commerce & Computer Sciences,"Eid Gaah Road, Asharfia Colony, Burbalab Nehar",FSc Pre Engineering FSc Pre Medical FA DCom,Private,0*,0*,Nehar
"MHE House of Education, Karachi","Gulshan-e-Iqbal Block 13/C in between KFC and Haleem Ghar, Karachi, -75350",FA FSc Pre Engineering FSc Pre Medical Icom ICS  Computer Science A-Level,Private,0*,0*,Karachi
Allama Iqbal College Of Commerce Multan,"Chungi No. 9 Bossan Road, Multan",FA Fsc Pre Medical FSc Pre Engineering ICs Computer Science ICom DCom,Private,3.25*,3*,Multan
Govt Degree College for Women Bhera,Govt Degree College for Women Bhera,FA ICs Computer Science FSc Pre Engineering FSc Pre Medical ICom,Public,0*,0*,Bhera
Superior Group of Colleges Pasrur,"Defense Town, Daska Road Pasrur",FSc Pre Engineering Fsc Pre Medical ICom ICS,Private,4*,4*,Pasrur
Informatics Group of Colleges,527 J-Block Johar Town Lahore,Fsc Pre Engineering FSc Pre Medical FA IT ICS Icom,Private,0*,0*,Lahore
Tameer-e-Seerat College of Science & Commerce Lahore,"Tameer-e-Seerat College of Commerce, Multan Road, Lahore",FA Fsc General Science ICS ICOM,Private,0*,0*,Lahore
Govt Degree College For Women Fort Abbas Bahawalnagar,Govt Degree College For Women Fort Abbas Bahawalnagar,FA General Science FSc Pre Medical FSc Pre Engineering FA ICS ICom,Public,0*,0*,Bahawalnagar
Govt Degree College For Women Hazro Attock,Govt Degree College For Women Hazro Attock,FA Fsc Pre-Engineering FSc Pre-Medical ICS FSc General Science,Public,0*,0*,Attock
Akhtar Majeed Girls Degree College Lahore,Riaz Chowk Township Lahore,FA FSc Pre Engineering FSc Pre Medical ICom ICS ,Private,1*,1*,Lahore
Punjab Group of Colleges Mailsi,Main Multan Road Mailsi,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,0*,0*,Mailsi
Punjab Group of Colleges Haroonabad,"Fateh Khan Town,72/4 Road",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,2.25*,2*,Haroonabad
"CAMS College of Business & IT, Karachi","109-B, Gulshan-e-Faisal, Bath Island, Clifton, Karachi",ACCA Icom,Private,0*,0*,Karachi
Pakistan Institute of Legal Studies Rawalpindi,"Children Park, Committee Chowk, Murree Road, Rawalpindi",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,Private,0*,0*,Rawalpindi
Oriental Degree College,Arbab Road Chowk University Road Peshawar.,FSc Pre Medical FSc Pre Engineering ICs Computer Science FA DCom DIT,Private,0*,0*,Peshawar
Govt College For Women Khushab,Govt College For Women Khushab,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science ICom FA General Science,Public,0*,0*,Khushab
Al-Mizan College Islamabad,"AL-MIZAN COLLEGE, AL-MIZAN COMPLEX, GILLANI AVENUE, MOTORWAY CHOWK, JHANGI SYEDAN, ISLAMABAD.",FA Icom FSc Pre Engineering ICs Computer Science FSc Pre Medical,Private,5*,5*,Islamabad
Govt Degree College For Women Taunsa Dera Ghazi Khan,Govt Degree College For Women Taunsa Dera Ghazi Khan,FA Fsc Pre-Medical FSc Pre-Engineering ICS,Public,0*,0*,Dera Ghazi Khan 
Bravo’s Academy and Club Hyderabad,"A-30 Stadium Rd, Hyderabad",FA Fsc Pre Medical FSc Pre Engineering ICom ICs Computer Science,Private,0*,0*,Hyderabad
"Govt. Polytechnic Institute, Attock",Fateh Jang Road Attock,DCOM,Private,5*,5*,Attock
Govt Degree College For Women Kot Chutta Dera Ghazi Khan,Govt Degree College For Women Kot Chutta Dera Ghazi Khan,FA Fsc Pre-Medical FSc Pre-Engineering FA General Science,Public,0*,0*,Dera Ghazi Khan 
Khanewal Public School And College,Khanewal Public School & College,FSc Pre Medical Fsc Pre Engineering ICS Computer Science,Private,0*,0*,Khanewal
Govt College for Women Kot Lakhpat Lahore,Govt College For Women Kot Lakhpat Lahore,FA FSc Pre Engineering FSc Pre Medical ICS ICom,Public,0*,0*,Lahore
Lahore Metropolitan College Lahore,"Lahore Metropolitan College, Lahore",ICS Fsc Pre Medical ICOM FSc Pre Engineering,Private,0*,0*,Lahore
FG Degree College for Women Kohat,FG Degree College for Women Kohat,FA Fsc Pre Medical FSc Pre Engineering ICS ICom,Public,0*,0*,Kohat
Govt Degree College for Women Arifwala,Arifwala,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Public,0*,0*,Arifwala
Govt Degree College For Women Ali Pur Chattha,Govt Degree College For Women Ali Pur Chatha Gujranwala,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science ICom,Public,0*,0*,Gujrawala
Govt Degree College For Women Narwala Banglow Narwala Road Faisalabad,"Govt Degree College For Women 61/JB, Narwala Banglow Narwala Road Faisalabad",FSc Pre-Medical Fsc Pre-Engineering FA FA General Science ICS ICom,Public,5*,5*,Faisalabad
Escribir College of Commerce & Economics Karachi,"5th Floor, The Plaza, Near Two Swords, Block 9, Clifton, Karachi",Icom Dcom,Private,0*,0*,Karachi
Superior Group of Colleges Narowal,"Chowk Bijli Ghar, Pasroor Road, Narowal",ICs Computer Science Fsc Pre Engineering FSc Pre Medical ICom FA,Private,2*,2*,Narowal
Govt Institute of Commerce Burewala,Chungi No:5 Burewala,ICs Computer Science Fsc Pre Engineering FSc Pre Medical ICom FA,Public,4*,4*,Burewala
Govt College Boys Dera Ghazi Khan,Govt College Block 17 Dera Ghazi Khan,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,1*,1*,Dera Ghazi Khan 
Govt Boys Degree College Minchinabad Bahawalnagar,Govt Boys Degree College Minchinabad Bahawalnagar,FA FA General Science FSc Pre Engineering FSc Pre Medical ICS ICom,Public,0*,0*,Bahawalnagar
Al Haq Girls College,"ST-5 / 1, Block-1, Gulshan-e-Iqbal, Karachi, -75300",FA ICs Computer Science FSc Pre Engineering FSc Pre Medical ICom,Private,1.25*,1*,Karachi
ITM College of Commerce 4-University Road Sargodha,ITM College of Commerce 4-University Road Sargodha,FSc Pre-Medical FSc Pre-Engineering ICS ICom FA FA General Science,Private,0*,0*,Sargodha
Govt Degree College Daharanwala Bahawalnagar,Govt Degree College Daharanwala Bahawalnagar,FA FSc Pre Engineering Fsc Pre Medical ICS FA General Science ICom,Public,0*,0*,Bahawalnagar
Govt Degree College Phularwan Sargodha,Govt Degree College Phularwan Sargodha,FA ICs Computer Science FSc Pre Engineering FSc Pre Medical FA General Science,Public,0*,0*,Sargodha
Punjab College of Commerce and Sciences Rahim Yar khan,RAHIM YAR KHAN,FSc Pre Engineering FSc Pre Medical FA General Science FA ICS,Private,0*,0*,Rahim Yar Khan
"Jinnah College of Commerce, Gujrat","Jinnah College of Commerce, Gujrat",ICom,Private,0*,0*,Gujrat
Jinnah Muslim College of Commerce Islamabad,Aabpara Market Islamabad,FA FSc Pre-Medical FSc Pre-Engineering ICS Icom FA General Science,Private,0*,0*,Islamabad
PBF International College Islamabad,"PBF International College PBC, (Campus) H-9, Islamabad",ICS FSc Pre Medical FSc Pre Engineering ICom FA A Level,Private,0*,0*,Islamabad
Govt Abdul Haq Islamia Degree College Jalalpur Jattan Gujrat,Jalalpur Jattan Gujrat,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,0*,0*,Gujrat
Frontier Model School & College Peshawar,"Warsak Road, Peshawar",FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Private,0*,0*,Peshawar
NPSC Rawat Islamabad,GT Road Rawat Islamabad,ICS Icom FA FSc Pre Medical FSc Pre Engineering,Private,0*,0*,Islamabad
Dar-E-Arqam Girls College Lahore,Lahore,FSc Pre Medical FSc Pre Engineering ICom FA ICS,Private,1.25*,1*,Lahore
Govt College of Commerce Bhakkar,Govt College of Commerce Bhakkar,ICS I.Com D.Com,Public,0*,0*,Bhakkar
"Crescent Model College, Mirpur","57, Sector C-1, Mirpur, Azad Jammu & Kashmir",FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,Private,0*,0*,Kashmir
Superior Group of Colleges Pak Pattan,"Near Saadat House, Sahiwal Road, Pak Pattan",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,Private,0*,0*,Pattan
Bravo College of Technology,Near Itfak kiddney Center Peshawar,Fsc Pre Engineering FSc Pre Medical ICs Computer Science DCom,Private,4*,4*,Peshawar
